n,D,dt,cutoff,total_time,ed_mode,observable_mode,ed_boundary_condition,ed_symmetry_sector,ed_observable_scope,ed_reference_label,ed_basis_dimension,ed_constrained_dimension,ed_group_order,ed_hamiltonian_nnz,ed_runtime_seconds,ipeps_runtime_seconds,reversibility_runtime_seconds,density_error_simple,density_error_exact_finite,density_error_ctm,return_probability_error,ed_return_probability,ed_excitation_density,ipeps_simple_density,ipeps_exact_finite_density,ipeps_ctm_density,max_truncerr,log_norm_initial,log_norm_final,log_norm_delta_abs,reversibility_density_drift,ctm_trust_status,ctm_trust_reason,notes,warnings
3,2,0.02,1.0e-12,0.2,symmetric_pbc,exact_finite,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,2.388474493,62.144781834,0.986702307,-0.022435254785561257,-2.4959901765250758e-5,,0.00020397287145546006,0.6888217957865046,0.03745145090992117,0.015016196124359912,0.03742649100815592,,2.831508520697572e-10,0.0,175.7285637318741,175.7285637318741,0.06963173199930754,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;symmetric PBC ED observables are global site averages"
3,2,0.02,1.0e-10,0.2,symmetric_pbc,exact_finite,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,2.388474493,1.830876324,1.059961399,-0.022435254785561257,-2.4959901765250758e-5,,0.00020397287145546006,0.6888217957865046,0.03745145090992117,0.015016196124359912,0.03742649100815592,,2.831508520697572e-10,0.0,175.7285637318741,175.7285637318741,1.785047809319953e-5,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;symmetric PBC ED observables are global site averages"
3,2,0.02,1.0e-9,0.2,symmetric_pbc,exact_finite,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,2.388474493,1.97052144,1.043618762,-0.022435254785561257,-2.4959901765250758e-5,,0.00020397287145546006,0.6888217957865046,0.03745145090992117,0.015016196124359912,0.03742649100815592,,2.831508520697572e-10,0.0,175.7285637318741,175.7285637318741,1.785047809319953e-5,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;symmetric PBC ED observables are global site averages"
3,2,0.02,1.0e-8,0.2,symmetric_pbc,exact_finite,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,2.388474493,1.897358603,1.034089201,-0.022435254785561257,-2.4959901765250758e-5,,0.00020397287145546006,0.6888217957865046,0.03745145090992117,0.015016196124359912,0.03742649100815592,,2.831508520697572e-10,0.0,175.7285637318741,175.7285637318741,2.498864697493763e-7,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;symmetric PBC ED observables are global site averages"
3,3,0.02,1.0e-12,0.2,symmetric_pbc,exact_finite,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,2.388474493,4.600469174,3.166729185,-0.018596019149573033,-0.0006448161012002629,,0.0047634750400582515,0.6888217957865046,0.03745145090992117,0.018855431760348138,0.03680663480872091,,3.948528959650454e-6,0.0,251.4078845103958,251.4078845103958,0.015861202702764397,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;symmetric PBC ED observables are global site averages"
3,3,0.02,1.0e-10,0.2,symmetric_pbc,exact_finite,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,2.388474493,2.862627881,2.162034686,-0.020405091308994868,-7.89425403823138e-5,,0.000555471660086293,0.6888217957865046,0.03745145090992117,0.017046359600926302,0.03737250836953886,,6.471706449877258e-6,0.0,196.2695192527257,196.2695192527257,0.018037414059527704,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;symmetric PBC ED observables are global site averages"
3,3,0.02,1.0e-9,0.2,symmetric_pbc,exact_finite,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,2.388474493,1.840509083,1.232863785,-0.022435254785561576,-2.4959901765375658e-5,,0.00020397287145601517,0.6888217957865046,0.03745145090992117,0.015016196124359596,0.037426491008155795,,2.8315085208684285e-10,0.0,175.7285637318757,175.7285637318757,6.095420854674203e-10,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;symmetric PBC ED observables are global site averages"
3,3,0.02,1.0e-8,0.2,symmetric_pbc,exact_finite,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,2.388474493,1.956479829,1.136643939,-0.022435254785561576,-2.4959901765375658e-5,,0.00020397287145601517,0.6888217957865046,0.03745145090992117,0.015016196124359596,0.037426491008155795,,2.8315085208684285e-10,0.0,175.7285637318757,175.7285637318757,6.371441743816979e-10,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;symmetric PBC ED observables are global site averages"
3,4,0.02,1.0e-12,0.2,symmetric_pbc,exact_finite,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,2.388474493,18.165576016,9.926379428,-0.0005518011555947291,-0.009701699961082413,,0.07468900431379288,0.6888217957865046,0.03745145090992117,0.03689964975432644,0.027749750948838758,,6.505407798092668e-5,0.0,299.28974119196204,299.28974119196204,0.013142152473300504,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;symmetric PBC ED observables are global site averages"
3,4,0.02,1.0e-10,0.2,symmetric_pbc,exact_finite,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,2.388474493,6.740506275,6.360437443,0.005003288823934977,-5.018696056564159e-5,,0.0003918935893153508,0.6888217957865046,0.03745145090992117,0.04245473973385615,0.03740126394935553,,1.4032506257394064e-5,0.0,206.01400589929875,206.01400589929875,0.023895749237086428,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;symmetric PBC ED observables are global site averages"
