step,time,density_simple,blockade_violation_simple,pxp_energy_density_simple,exact_finite_density,max_truncerr,mean_bond_entropy,max_bond_entropy,log_norm
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,0.00021094978264191464,4.970312116169908e-32,1.204681265500847e-16,0.0003996269892620247,6.057284815157998e-29,0.0004886714629131812,0.0010208140309151616,7.27804539587947
2,0.04,0.0006209453299682393,1.7574107440658554e-25,8.700537818727151e-16,0.0015953167147075228,1.124449453822483e-13,0.0022121244272449198,0.0035300598582299544,25.993025738423423
3,0.06,0.0013945003658568627,4.6870308780169454e-23,1.4244609464020063e-15,0.0035775326995361634,1.1058640462728183e-12,0.0045351562329980005,0.007213741432460306,44.70804551527363
4,0.08,0.0024728535724359655,1.673130966093244e-21,2.242909241886788e-15,0.006330503904987648,4.5593082118822335e-12,0.007508316275770439,0.011903633972788055,63.42317256993802
5,0.1,0.0038515872175550973,2.34916952635545e-20,1.8886177412822413e-15,0.009832407583696245,1.2902801599377941e-11,0.011064760249315221,0.0174823715364799,82.13853026388924
6,0.12,0.0055251219998829655,1.9213198693446218e-19,1.8518247971091495e-15,0.014055623908162016,2.9489288497189505e-11,0.015154085309224404,0.0238585890898799,100.85430987370394
7,0.14,0.007486735563169398,1.1050190885625826e-18,1.5354271513556083e-15,0.018967061617202827,5.868266898283492e-11,0.019735876610559255,0.030957181844269405,119.57078405542713
8,0.16,0.008834516135406884,5.312284683413559e-18,1.214232713441464e-16,0.024528744756302626,8.542627575910778e-11,0.024437901591547198,0.038714040711690226,138.8965165400331
9,0.18,0.011794833232816717,1.1543254878369331e-8,2.886876333708154e-14,0.030690841771038424,6.471706456605771e-6,0.10613024799391885,0.6618463309479751,166.69987747012718
10,0.2,0.017046359596518543,4.04498603691658e-8,8.995111249038039e-15,0.03737250836958691,2.89803878463349e-6,0.13026050809432702,0.6418729384408381,196.2695192526752
11,0.22,0.021913083901506227,7.605448824167045e-8,2.3584326198126805e-15,0.04448485483976434,3.499636049616366e-6,0.13803826842616054,0.6190276408772233,225.86530636804022
12,0.24,0.026604430809982253,1.123671473521276e-7,1.1821537855560006e-15,0.0519786382321673,4.133489073931782e-6,0.14619725780437198,0.5821277510997415,255.45501538330987
13,0.26,0.031187187381080634,1.4667197833825716e-7,2.8335537046428836e-15,0.05979173750043218,4.437838996864638e-6,0.15340034947993533,0.5759371813910711,285.03566380679945
14,0.28,0.03575073235349462,1.8174115310827517e-7,3.883982680440445e-15,0.06786688508566513,4.5030716738770876e-6,0.1606791084085823,0.5661703348122418,314.6000555479795
15,0.3,0.040442759033476716,2.2255047453073188e-7,5.2803853027948354e-15,0.07615372360631639,5.017826948919415e-6,0.16841547448274458,0.5502408446324208,344.14051723781614
16,0.32,0.04533939006584625,2.7323187967721746e-7,6.833858115377416e-15,0.0846081038291312,6.03538777088892e-6,0.17640972659464982,0.5261410234724412,373.6497611408256
17,0.34,0.05038914454496519,3.3486691819754214e-7,9.025878446463444e-15,0.09319051018404616,6.774355950979525e-6,0.1841147893802223,0.4935135410546044,403.12197513234196
18,0.36,0.055436520767168936,4.0528227644676926e-7,1.0228483984845565e-14,0.10186462187446997,7.228517381282409e-6,0.1910458376031621,0.45458940292485917,432.5537408674389
19,0.38,0.06030536681686186,4.806795648168537e-7,1.0936255982809608e-14,0.11059517241403846,7.449404237204494e-6,0.19707341515883128,0.4136564288961367,461.94452597874084
20,0.4,0.06487872130442869,5.582128967613842e-7,6.801996557795093e-15,0.11934599900338301,7.51295800399476e-6,0.2024082167139781,0.3751309715857961,491.2965938365453
21,0.42,0.06912309667401043,6.3763071387362e-7,6.372583240846237e-15,0.1280794308152269,7.490587059614971e-6,0.20739482460764838,0.3418320326503507,520.6145373380988
22,0.44,0.07306488789814176,7.209398113919148e-7,6.486564026575817e-15,0.1367569871753322,7.435414324071418e-6,0.21233297610483198,0.3145852788044725,549.9047323506023
23,0.46,0.07675564683263958,8.108387332508563e-7,7.403990360610905e-15,0.14534067239666593,7.3807613796085545e-6,0.21740950856916008,0.3034792428694003,579.1748670735079
24,0.48,0.0802482451299079,9.092507516914642e-7,4.238578444575072e-15,0.15379425609728511,7.343637287654708e-6,0.22270770272232138,0.3056786988781726,608.4335774453858
25,0.5,0.08358614316830887,1.0166764283634978e-6,3.6540169131596734e-15,0.16208425286844635,7.943695950489434e-6,0.22824309112564606,0.3178149533356545,637.690166977763
26,0.52,0.08680071648243719,1.1323236129232657e-6,3.3956566755331404e-15,0.17018054392824672,8.630203109191482e-6,0.2339966513236609,0.32956403145209456,666.9543726000418
27,0.54,0.08991217905106236,1.2546239039284536e-6,3.047340329700351e-15,0.17805668684325862,9.343421643979727e-6,0.23993609797688414,0.34109047176869617,696.2361361333094
28,0.56,0.0929316881852697,1.381782016481625e-6,3.088820035409568e-15,0.18568998651282995,1.0072984751306599e-5,0.24602624175599994,0.35249069942938416,725.5453531331528
29,0.58,0.09586357968314368,1.5121809836598089e-6,1.0167156292528309e-15,0.1930613899362842,1.0805680888787708e-5,0.25223254233858294,0.36381404210785706,754.8915909816063
30,0.6,0.09870736376244721,1.6446081635972495e-6,-6.718959030839466e-16,0.20015524590089384,1.1527422787017406e-5,0.25852149383490297,0.37507671694884326,784.2837867027198
31,0.62,0.10145941176377042,1.7783336044352154e-6,-2.445386644926277e-15,0.20695895687898594,1.2224687946679526e-5,0.264860032563982,0.38627048764976546,813.7299476914854
32,0.64,0.10411436729802537,1.9130877223547167e-6,-3.5110068752180534e-15,0.2134625492074205,1.288544317073099e-5,0.2712150106792779,0.39736821699099284,843.236885762563
33,0.66,0.10666632477154642,2.0489795005357474e-6,-6.835983960021428e-15,0.21965819422469582,1.3499607141075072e-5,0.27755313582248714,0.4083281389832373,872.8100174862992
34,0.68,0.10910979008815906,2.1863864242991066e-6,-7.022941434306115e-15,0.22553972016092866,1.4059127809618546e-5,0.28384146212561073,0.4190980889495746,902.4532611750719
35,0.7000000000000001,0.11144040612454159,2.3258391046384653e-6,-9.137471376988524e-15,0.23110215703281276,1.4557775664730027e-5,0.2900483541878605,0.4296203484484926,932.1690520067746
36,0.72,0.11365540967400561,2.4679175105738618e-6,-1.0059922696118108e-14,0.23634135265342382,1.499077483312469e-5,0.2961447430267388,0.4398372113095542,961.9584816425714
37,0.74,0.11575379674886241,2.6131705300123017e-6,-9.533329076110012e-15,0.24125368793012886,1.535440023924435e-5,0.30210543073033985,0.4496968945376997,991.8215497780336
38,0.76,0.11773620683442552,2.762064925399885e-6,-7.824767170518083e-15,0.2458359063970602,1.5645653141936653e-5,0.30791018913320256,0.45915908295131935,1021.7574971557898
39,0.78,0.11960457985613918,2.914963536097686e-6,-1.0889925122918273e-14,0.2500850594039745,1.5862090181657692e-5,0.31354444620498967,0.46819929064563487,1051.76517796762
40,0.8,0.12136167379903351,3.0721269192616838e-6,-1.0502913942660224e-14,0.2539985569573627,1.6001832017347462e-5,0.3189994510661097,0.4768113715829852,1081.8434275508644
41,0.8200000000000001,0.1230105430287184,3.2337290139347523e-6,-1.4100164055712797e-14,0.2575743060777419,1.60637301442978e-5,0.3242719243077725,0.48500785688256887,1111.991388499515
42,0.84,0.1245540655311418,3.3998767155026075e-6,-1.585896517165983e-14,0.26081091371833254,1.6068059392161514e-5,0.32936329901530964,0.4928182150013263,1142.2087712793837
43,0.86,0.1259945793658924,3.5706252271363984e-6,-1.6176611784024116e-14,0.2637079290943088,1.6015722910481742e-5,0.33427871486865207,0.5002854916675037,1172.4960395386267
44,0.88,0.12733365598352825,3.7459846762293114e-6,-1.487450067860197e-14,0.2662660998446537,1.5883826658784387e-5,0.3390259367961382,0.5074620008584914,1202.8545218879171
45,0.9,0.12857200978066932,3.925917495905885e-6,-1.2396545057116617e-14,0.2684876171326802,1.567593167131701e-5,0.34361434076528696,0.5144047815813603,1233.2864593420834
46,0.92,0.12970952378713763,4.110329428040369e-6,-1.3648729190183816e-14,0.27037632623462104,1.5397423794800344e-5,0.3480540600565145,0.5211714356401758,1263.7950010365016
47,0.9400000000000001,0.13074536114623556,4.299059009490401e-6,-1.4205903482624956e-14,0.2719378812599244,1.5055425852050266e-5,0.3523553332463822,0.5278167741792087,1294.3841614038759
48,0.96,0.13167812938547038,4.4918707366510235e-6,-1.5265558684706375e-14,0.2731798254007255,1.4658542484861138e-5,0.35652805257236697,0.5343904846196287,1325.058751012355
49,0.98,0.13250606710959895,4.688455848565991e-6,-1.3129926718525777e-14,0.2741115815399659,1.4904296418607624e-5,0.3605814842676511,0.5409358327094403,1355.8242916755603
50,1.0,0.13322722857535008,4.888442323671737e-6,-1.2974066213164732e-14,0.2747443421370364,1.5628830498988845e-5,0.36452412097767134,0.547489267307554,1386.6869247410177
51,1.02,0.13383964890240715,5.091413053662564e-6,-1.177931902222528e-14,0.27509085200434213,1.6362882935316118e-5,0.3683636268463882,0.554080710466249,1417.6533197895785
52,1.04,0.1343414800821665,5.296929093329945e-6,-1.0459160048223455e-14,0.2751650828358543,1.7084395384210037e-5,0.3721068431714538,0.560734289248026,1448.730589314788
53,1.06,0.13473109446566822,5.5045539829010854e-6,-1.0717394552500184e-14,0.2749818041108956,1.7785491097943575e-5,0.3757598320218701,0.5674692851288017,1479.9262132658498
54,1.08,0.13500715742077626,5.713875531698269e-6,-1.1951894855215634e-14,0.27455606121814086,1.845892999311144e-5,0.37932794378158846,0.5743011238976515,1511.2479756592838
55,1.1,0.13516867410510025,5.924522808732119e-6,-1.284896928155665e-14,0.2739025781914152,1.9098077532979893e-5,0.3828159008597771,0.5812422862980375,1542.703913880677
56,1.12,0.13521501690426305,6.136177802769335e-6,-1.3060512431717949e-14,0.27303510904228073,1.9696816508770192e-5,0.3862278937090676,0.588303073820593,1574.3022799147652
57,1.1400000000000001,0.1351459403676448,6.3485826782872735e-6,-1.3747342644560217e-14,0.2719657678639683,2.0249438435758743e-5,0.389567687381745,0.5954922069371986,1606.051511636247
58,1.16,0.134961589868754,6.561544353702431e-6,-1.3158173993246808e-14,0.27070437306577094,2.0750549425828597e-5,0.3928387378071341,0.6028172616128343,1637.9602114869558
59,1.18,0.13466250913928332,6.774938139518787e-6,-1.5218878814834795e-14,0.26925784459307217,2.1195017604250173e-5,0.3960443173037145,0.6102849648748163,1670.0371293235305
60,1.2,0.1342496505939751,6.988711516623809e-6,-1.5290772286182546e-14,0.26762969412932297,2.157797798868918e-5,0.39918764883487273,0.617901374435815,1702.291145872695
61,1.22,0.13372439117986568,7.202888064775417e-6,-1.476437401072516e-14,0.26581964652643303,2.1894898859464762e-5,0.4022720482954749,0.625671964429273,1734.7312529949313
62,1.24,0.13308855544790732,7.417570346694482e-6,-1.4019726999199499e-14,0.26382342577739387,2.2141703095532008e-5,0.4053010737018935,0.6336016324753098,1767.3665267545268
63,1.26,0.13234444668798384,7.632939436917596e-6,-1.6096761907413012e-14,0.261632730781478,2.2314930023615256e-5,0.40827867952558944,0.641694634951591,1800.2060890648559
64,1.28,0.13149488628830439,7.849247893276216e-6,-1.720673256386073e-14,0.2592354154196057,2.2411918572697933e-5,0.4112093735020924,0.649982093680268,1833.2590533815564
65,1.3,0.1305432609679988,8.06680235617942e-6,-1.7905366310954603e-14,0.25661587493591304,2.2430990909366964e-5,0.4140983719565242,0.6585146661317937,1866.534449528618
66,1.32,0.12949357718496474,8.285931622686886e-6,-1.8495268786581703e-14,0.2537556275444183,2.2371616833430613e-5,0.4169517478521159,0.6672114043294942,1900.0411222523928
67,1.34,0.12835052184171253,8.506935948129373e-6,-1.836822322897856e-14,0.2506340679859991,2.2234542393420956e-5,0.4197765631585171,0.6760707732690239,1933.78759751052
68,1.36,0.12711952839213944,8.730013459532894e-6,-1.8580040760273107e-14,0.2472293598827798,2.202187067517895e-5,0.4225809734799053,0.6850885833613602,1967.7819098483624
69,1.3800000000000001,0.12580684754510058,8.955159961152864e-6,-1.8919876684205007e-14,0.24351942735656207,2.213626422437853e-5,0.4253742879225453,0.6942571218894157,2002.0313835806733
70,1.4000000000000001,0.12441962183941128,9.182039229091754e-6,-2.0533934016896066e-14,0.23948300419910457,2.3103626097105187e-5,0.42816696082468586,0.7035640174408835,2036.5423600693732
71,1.42,0.12296596317246536,9.409822476860702e-6,-1.8675260753846948e-14,0.23510070096151214,2.407439740264792e-5,0.4309704845575609,0.7129907807146528,2071.3198635332396
72,1.44,0.12145503146954091,9.636998638171769e-6,-2.1233330538049865e-14,0.23035605598880377,2.5044301456327463e-5,0.4337971453411877,0.7225109745673036,2106.367199173502
73,1.46,0.1198971104740018,9.861162353180224e-6,-2.2331787043223918e-14,0.22523654424596712,2.6340930665518963e-5,0.4366595995716797,0.7320880007829601,2141.685480936856
74,1.48,0.1183036724374738,1.0078795100148536e-5,-2.3225259237956668e-14,0.21973452567781782,2.8311818315900177e-5,0.439570231248175,0.7416725680606551,2177.27309331944
75,1.5,0.11668741684728134,1.0285067497849604e-5,-2.47069541315263e-14,0.2138481202263656,3.0350954813577682e-5,0.44254026860101064,0.7512000430899849,2213.1251037793722
76,1.52,0.1150622596422885,1.047370681139486e-5,-2.5217918064167462e-14,0.20758199673744857,3.2423663084951555e-5,0.4455786777319511,0.7605880922361442,2249.232660710786
77,1.54,0.11344324074364733,1.063698972161276e-5,-2.5322542086899342e-14,0.20094805557372286,3.4484039176379335e-5,0.4486909177662588,0.769735273325143,2285.5824361242285
78,1.56,0.1118463137179987,1.0765928902886786e-5,-2.4609797681960938e-14,0.19396596926126455,3.6475120724910265e-5,0.4518777303897944,0.7785214586769683,2322.1561985371113
79,1.58,0.11028798866300976,1.0850711581696964e-5,-2.7383736258040497e-14,0.18666352468445024,3.833063472162961e-5,0.45513422308812707,0.7868546774776551,2358.9306217440653
80,1.6,0.10878482403726839,1.0881408390202616e-5,-2.852673911953486e-14,0.17907669153550854,3.997863369671548e-5,0.4584495455534518,0.794762941522335,2395.8774363459056
81,1.62,0.10735280520465602,1.084890066334778e-5,-3.041764602677712e-14,0.17124933616949387,4.134691328923599e-5,0.4618074013408156,0.8019271813419093,2432.9640001984817
82,1.6400000000000001,0.10600669540333146,1.0745892035390097e-5,-2.9853742413560477e-14,0.16323251873304345,4.236954483308127e-5,0.46518745815558304,0.8082076511010877,2470.154296671464
83,1.6600000000000001,0.10475947601869733,1.0567812009441346e-5,-3.156149150576086e-14,0.1550833581277798,4.30494003511468e-5,0.46856746136013094,0.8134854905023673,2507.4102783859857
84,1.68,0.1036219850136545,1.0313421064590883e-5,-3.280909542561855e-14,0.14686351471067127,4.337077948553969e-5,0.4719256248968641,0.817673062673093,2544.6933896049572
85,1.7,0.10260281057847995,9.984997739687593e-6,-3.450412200873594e-14,0.13863740388303014,4.3231441984264787e-5,0.4752427900969308,0.8207201508104018,2581.9660582073097
86,1.72,0.10170842318607841,9.588098423797484e-6,-3.451547088969792e-14,0.13047029302502175,4.2630944977812265e-5,0.4785039498508292,0.8226150067694975,2619.192967063429
87,1.74,0.10094346881265436,9.13098057706564e-6,-3.4429575782363896e-14,0.12242643881158194,4.159064301497615e-5,0.48169896869672,0.8233807653364751,2656.34198391343
88,1.76,0.1003111240097765,8.623832975784943e-6,-3.422129260185127e-14,0.11456739660958025,4.0150348827828907e-5,0.48482256601075435,0.8230688277278981,2693.384715802737
89,1.78,0.09981342964120703,8.07795682803154e-6,-3.448069806737479e-14,0.10695059305885882,3.8363759992697076e-5,0.4878737754388573,0.8217511073534827,2730.2967254969476
90,1.8,0.09945155567780067,7.505007859845182e-6,-3.434213194417375e-14,0.09962821180285228,3.629353613648082e-5,0.4908551278269052,0.819512651358857,2767.0574863216593
91,1.82,0.09922598398284088,6.916365476940281e-6,-3.5199936751859545e-14,0.09264640924978144,3.400667934695645e-5,0.49377176192631567,0.8164454960183996,2803.650160234909
92,1.84,0.09913661852695167,6.322656692018644e-6,-3.594100947390728e-14,0.08604485426105724,3.157060057877791e-5,0.4966305956353312,0.8126440245044553,2840.0612730357598
93,1.86,0.09918284201907276,5.733435436940635e-6,-3.5020135657635534e-14,0.07985657105099027,2.9050032934622855e-5,0.49943962453308566,0.8082017221253055,2876.2803422249244
94,1.8800000000000001,0.09936353866473215,5.157001618804887e-6,-3.4665500245651413e-14,0.07410805563051338,2.6504801973943494e-5,0.502207367888593,0.8032090600764779,2912.299494834138
95,1.9000000000000001,0.09967709930901567,4.600336069377893e-6,-3.4326060028269663e-14,0.06881963063249877,2.3988374338004447e-5,0.5049424555921412,0.7977522123766414,2948.1130979071963
96,1.92,0.10012142074340806,4.069124630781526e-6,-3.4137054739108307e-14,0.06400599996978129,2.1547061352302655e-5,0.5076533374593486,0.7919123508207726,2983.717413878131
97,1.94,0.10069390699126729,3.567844977253379e-6,-3.492571049290485e-14,0.059676962818373015,1.92197386319428e-5,0.5103480934083804,0.785765322784968,3019.1102862443286
98,1.96,0.10139147740712569,3.0998920414224755e-6,-3.442422155583368e-14,0.055838245567551,1.703794523633392e-5,0.5130343247586014,0.779381573406531,3054.2908567443023
99,1.98,0.10221058437406273,2.667721229429132e-6,-3.399646358259177e-14,0.0524924104337093,1.5026239179039948e-5,0.5157191105858555,0.7728262189696212,3089.2593128753088
100,2.0,0.10314724201655937,2.2729924161695363e-6,-3.427838934791304e-14,0.049639800165794855,1.340305667986276e-5,0.5184090171606203,0.7661592116411117,3124.0166633832323
