n,D,dt,cutoff,total_time,ed_mode,observable_mode,ed_boundary_condition,ed_symmetry_sector,ed_observable_scope,ed_reference_label,ed_basis_dimension,ed_constrained_dimension,ed_group_order,ed_hamiltonian_nnz,ed_runtime_seconds,ipeps_runtime_seconds,reversibility_runtime_seconds,density_error_simple,density_error_exact_finite,density_error_ctm,return_probability_error,ed_return_probability,ed_excitation_density,ipeps_simple_density,ipeps_exact_finite_density,ipeps_ctm_density,max_truncerr,log_norm_initial,log_norm_final,log_norm_delta_abs,reversibility_density_drift,ctm_trust_status,ctm_trust_reason,notes,warnings
3,1,0.02,1.0e-12,0.1,symmetric_pbc,exact_finite,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,2.527221249,61.91007662,0.27246185,-0.0015784563362359824,-0.0015784563362359842,,0.014861038513836133,0.9132355782555527,0.009835227731858387,0.008256771395622404,0.008256771395622402,,7.70606645477153e-5,0.0,-0.04583326361598108,0.04583326361598108,0.0002089526867711061,not_run,not_run,M3 larger-D PXP ED benchmark,symmetric PBC ED observables are global site averages
3,2,0.02,1.0e-12,0.1,symmetric_pbc,exact_finite,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,2.527221249,2.784335794,0.721376651,-0.005983640514303048,-2.820148161986752e-6,,2.4753975550795282e-5,0.9132355782555527,0.009835227731858387,0.0038515872175553384,0.0098324075836964,,1.2902801606666136e-11,0.0,82.13853026388917,82.13853026388917,2.76851944539567e-13,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;symmetric PBC ED observables are global site averages"
3,3,0.02,1.0e-12,0.1,symmetric_pbc,exact_finite,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,2.527221249,1.618450928,1.926626131,-0.006172798547017284,-1.9268045701143627e-5,,0.00016587018010305599,0.9132355782555527,0.009835227731858387,0.0036624291848411025,0.009815959686157243,,1.626795374665782e-6,0.0,103.39144541681279,103.39144541681279,0.020684739962082095,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;symmetric PBC ED observables are global site averages"
3,1,0.01,1.0e-12,0.1,symmetric_pbc,exact_finite,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,0.002001909,3.07886177,0.543432496,-0.0026846619647989626,-0.0026846619647989635,,0.02421964371136409,0.9132355782555527,0.009835227731858387,0.007150565767059424,0.007150565767059423,,5.702861606488507e-5,0.0,-0.132457359411218,0.132457359411218,0.000533491122528376,not_run,not_run,M3 larger-D PXP ED benchmark,symmetric PBC ED observables are global site averages
3,2,0.01,1.0e-12,0.1,symmetric_pbc,exact_finite,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,0.002001909,1.451950778,0.721665574,-0.0059804385386530365,-9.291256427533534e-7,,8.161076518131694e-6,0.9132355782555527,0.009835227731858387,0.00385478919320535,0.009834298606215633,,4.062934052582059e-12,0.0,175.7138194393141,175.7138194393141,5.125629856478343e-11,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;symmetric PBC ED observables are global site averages"
3,3,0.01,1.0e-12,0.1,symmetric_pbc,exact_finite,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,4,34,72,6,0.002001909,2.416996164,2.153829125,-0.005605940795216131,-2.394369696451064e-5,,0.00020607886340051618,0.9132355782555527,0.009835227731858387,0.004229286936642256,0.009811284034893876,,6.074766442729013e-7,0.0,198.17898092077792,198.17898092077792,0.019457436800368457,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;symmetric PBC ED observables are global site averages"
4,1,0.02,1.0e-12,0.1,symmetric_pbc,symmetric_pbc_ed_global,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,29,743,128,100,0.185601295,10.094058966,0.403057649,-0.0015788797748867728,,,,0.8509901493156848,0.009835615793711339,0.008256736018824566,,,7.702762129558535e-5,0.0,-0.11075169920331834,0.11075169920331834,0.00020895015288475624,not_run,not_run,M3 larger-D PXP ED benchmark,exact finite iPEPS observables were not available for this run;symmetric PBC ED observables are global site averages
4,2,0.02,1.0e-12,0.1,symmetric_pbc,symmetric_pbc_ed_global,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,29,743,128,100,0.185601295,2.422889314,1.028232476,-0.006352151201405313,,,,0.8509901493156848,0.009835615793711339,0.003483464592306026,,,1.2903255158156103e-11,0.0,144.17600491834637,144.17600491834637,2.1986259743804365e-13,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;exact finite iPEPS observables were not available for this run;symmetric PBC ED observables are global site averages"
4,3,0.02,1.0e-12,0.1,symmetric_pbc,symmetric_pbc_ed_global,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,29,743,128,100,0.185601295,84.052878116,74.622849377,-0.006704316693703654,,,,0.8509901493156848,0.009835615793711339,0.0031312991000076846,,,8.646953234011954e-6,0.0,181.8185850115021,181.8185850115021,0.02351955267016682,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;exact finite iPEPS observables were not available for this run;symmetric PBC ED observables are global site averages"
4,1,0.01,1.0e-12,0.1,symmetric_pbc,symmetric_pbc_ed_global,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,29,743,128,100,0.002059314,1.583348992,0.933278163,-0.002685108090563916,,,,0.8509901493156848,0.009835615793711339,0.007150507703147423,,,5.6982624703745674e-5,0.0,-0.3167027772632588,0.3167027772632588,0.0005335249066076249,not_run,not_run,M3 larger-D PXP ED benchmark,exact finite iPEPS observables were not available for this run;symmetric PBC ED observables are global site averages
4,2,0.01,1.0e-12,0.1,symmetric_pbc,symmetric_pbc_ed_global,periodic,fully_symmetric_space_group,pbc_global_site_average,finite_pbc_global_density,29,743,128,100,0.002059314,2.478956056,1.570809326,-0.0063493474211965654,,,,0.8509901493156848,0.009835615793711339,0.003486268372514773,,,4.062982724652761e-12,0.0,310.5323194745649,310.5323194745649,1.1821956926731596e-11,not_run,not_run,M3 larger-D PXP ED benchmark,"density_simple is a diagnostic for D>1 loopy PEPS, not exact finite truth;exact finite iPEPS observables were not available for this run;symmetric PBC ED observables are global site averages"
