n,D,dt,total_time,mode,ed_basis_dimension,ed_constrained_dimension,ed_group_order,ed_excitation_density,ipeps_simple_density,ipeps_exact_finite_density,density_error_simple,density_error_exact_finite,return_probability_error,max_truncerr,log_norm_delta_abs,reversibility_density_drift,ed_runtime_seconds,ipeps_runtime_seconds
3,1,0.01,0.1,exact_finite,4,34,72,0.009835227731858387,0.007150565767059424,0.007150565767059423,-0.0026846619647989626,-0.0026846619647989635,0.02421964371136409,5.702861606488507e-5,0.132457359411218,0.000533491122528376,0.002001909,3.07886177
3,2,0.01,0.1,exact_finite,4,34,72,0.009835227731858387,0.00385478919320535,0.009834298606215633,-0.0059804385386530365,-9.291256427533534e-7,8.161076518131694e-6,4.062934052582059e-12,175.7138194393141,5.125629856478343e-11,0.002001909,1.451950778
3,3,0.01,0.1,exact_finite,4,34,72,0.009835227731858387,0.004229286936642256,0.009811284034893876,-0.005605940795216131,-2.394369696451064e-5,0.00020607886340051618,6.074766442729013e-7,198.17898092077792,0.019457436800368457,0.002001909,2.416996164
3,1,0.02,0.1,exact_finite,4,34,72,0.009835227731858387,0.008256771395622404,0.008256771395622402,-0.0015784563362359824,-0.0015784563362359842,0.014861038513836133,7.70606645477153e-5,0.04583326361598108,0.0002089526867711061,2.527221249,61.91007662
3,2,0.02,0.1,exact_finite,4,34,72,0.009835227731858387,0.0038515872175553384,0.0098324075836964,-0.005983640514303048,-2.820148161986752e-6,2.4753975550795282e-5,1.2902801606666136e-11,82.13853026388917,2.76851944539567e-13,2.527221249,2.784335794
3,3,0.02,0.1,exact_finite,4,34,72,0.009835227731858387,0.0036624291848411025,0.009815959686157243,-0.006172798547017284,-1.9268045701143627e-5,0.00016587018010305599,1.626795374665782e-6,103.39144541681279,0.020684739962082095,2.527221249,1.618450928
4,1,0.01,0.1,symmetric_pbc_ed_global,29,743,128,0.009835615793711339,0.007150507703147423,,-0.002685108090563916,,,5.6982624703745674e-5,0.3167027772632588,0.0005335249066076249,0.002059314,1.583348992
4,2,0.01,0.1,symmetric_pbc_ed_global,29,743,128,0.009835615793711339,0.003486268372514773,,-0.0063493474211965654,,,4.062982724652761e-12,310.5323194745649,1.1821956926731596e-11,0.002059314,2.478956056
4,3,0.01,0.1,symmetric_pbc_ed_global,29,743,128,0.009835615793711339,0.004220671334176289,,-0.00561494445953505,,,2.8137238307503557e-6,351.2187507528694,0.024492643290920373,0.002059314,78.114506317
4,1,0.02,0.1,symmetric_pbc_ed_global,29,743,128,0.009835615793711339,0.008256736018824566,,-0.0015788797748867728,,,7.702762129558535e-5,0.11075169920331834,0.00020895015288475624,0.185601295,10.094058966
4,2,0.02,0.1,symmetric_pbc_ed_global,29,743,128,0.009835615793711339,0.003483464592306026,,-0.006352151201405313,,,1.2903255158156103e-11,144.17600491834637,2.1986259743804365e-13,0.185601295,2.422889314
4,3,0.02,0.1,symmetric_pbc_ed_global,29,743,128,0.009835615793711339,0.0031312991000076846,,-0.006704316693703654,,,8.646953234011954e-6,181.8185850115021,0.02351955267016682,0.185601295,84.052878116
5,1,0.01,0.1,symmetric_pbc_ed_global,188,25531,200,0.009835614761304822,0.007150471439969906,,-0.0026851433213349162,,,5.698401651659688e-5,0.6219189388504108,0.0005335432907271453,0.013880436,1.922091044
5,2,0.01,0.1,symmetric_pbc_ed_global,188,25531,200,0.009835614761304822,0.0032733503646271674,,-0.006562264396677655,,,4.0629828355683945e-12,483.4747995466304,8.066619053083517e-12,0.013880436,3.833590872
5,3,0.01,0.1,symmetric_pbc_ed_global,188,25531,200,0.009835614761304822,0.004010582513248762,,-0.005825032248056061,,,1.4434391080737209e-6,542.3502473045171,0.02314684984048096,0.013880436,119.532079146
5,1,0.02,0.1,symmetric_pbc_ed_global,188,25531,200,0.009835614761304822,0.008256713889812067,,-0.0015789008714927558,,,7.702799719493454e-5,0.21904000293026235,0.00020894721416295757,0.17536834,0.541936514
5,2,0.02,0.1,symmetric_pbc_ed_global,188,25531,200,0.009835614761304822,0.0032707740269863426,,-0.00656484073431848,,,1.2903255954979992e-11,223.5426758995646,2.1265028951386887e-13,0.17536834,2.082899531
5,3,0.02,0.1,symmetric_pbc_ed_global,188,25531,200,0.009835614761304822,0.0031125003695882964,,-0.006723114391716526,,,3.7458539436105506e-6,279.3916174609745,0.020655375732151277,0.17536834,111.105589134
6,1,0.01,0.1,symmetric_pbc_ed_global,9702,2406862,288,0.0098356147639628,0.00715044744217426,,-0.0026851673217885407,,,5.698398843143879e-5,1.0786595329308686,0.0005335557035012478,1.367046247,2.118808409
6,2,0.01,0.1,symmetric_pbc_ed_global,9702,2406862,288,0.0098356147639628,0.0031348193715917743,,-0.006700795392371026,,,4.062982831819001e-12,694.5414796061367,5.666001370479822e-12,1.367046247,5.806158494
6,3,0.01,0.1,symmetric_pbc_ed_global,9702,2406862,288,0.0098356147639628,0.0041727503926956904,,-0.00566286437126711,,,2.786621953103046e-6,777.6658794908944,0.02035793623055427,1.367046247,166.772111649
