=== 6x6 native D=2 rel_floor=0 dt=0.02 meas=0.1 offset=0.1 vs Krylov ED (sector observable, blas=8) ===
t     n_sector   n_ED6     delta      leak      n_simple   ev_s     obs_s   
0.1   0.495017   0.49502   -0.00000   0.00e+00  0.490918   106.2    1.7     
0.2   0.480265   0.48027   -0.00000   0.00e+00  0.471927   7.4      0.8     
0.3   0.456334   0.45633   -0.00000   0.00e+00  0.444065   8.7      1.2     
0.4   0.424179   0.42418   -0.00000   0.00e+00  0.408433   9.6      1.1     
0.5   0.385097   0.38510   -0.00000   0.00e+00  0.366424   8.0      1.2     
0.6   0.340710   0.34071   +0.00000   0.00e+00  0.319857   9.2      1.3     
0.7   0.292985   0.29297   +0.00001   1.73e-15  0.271029   8.8      1.3     
0.8   0.244287   0.24425   +0.00004   8.96e-14  0.222662   8.2      1.0     
0.9   0.197429   0.19735   +0.00008   2.62e-12  0.177713   9.3      1.1     
1.0   0.155632   0.15552   +0.00011   3.64e-11  0.139107   9.1      1.0     
1.1   0.122275   0.12224   +0.00004   3.42e-10  0.109490   9.5      1.2     
1.2   0.100415   0.10073   -0.00031   2.66e-09  0.091033   10.2     1.4     
1.3   0.092163   0.09333   -0.00117   1.73e-08  0.085336   9.8      1.5     
1.4   0.098207   0.10094   -0.00273   8.38e-08  0.093406   9.3      1.5     
1.5   0.117573   0.12267   -0.00510   2.40e-07  0.115320   9.5      1.3     
1.6   0.147517   0.15613   -0.00862   4.24e-07  0.148808   8.5      1.2     
1.7   0.439965   0.19793   +0.24204   2.02e-09  0.188335   9.1      1.2     
1.8   0.432145   0.24438   +0.18777   7.11e-09  0.228309   8.1      1.2     
1.9   0.413107   0.29206   +0.12105   3.72e-08  0.266210   8.3      1.0     
2.0   0.385909   0.33810   +0.04781   1.77e-07  0.301387   7.3      0.9     
2.1   0.351120   0.38021   -0.02909   7.11e-07  0.332863   7.4      1.0     
2.2   0.309776   0.41661   -0.10683   2.01e-06  0.356701   7.3      1.0     
2.3   0.263393   0.44591   -0.18252   1.16e-07  0.257112   7.6      1.0     
2.4   0.214284   0.46709   -0.25281   0.00e+00  0.200539   7.2      1.0     
2.5   0.168284   0.47943   -0.31114   0.00e+00  0.153691   8.2      1.1     
2.6   0.129037   0.48251   -0.35348   3.10e-13  0.116091   8.9      1.1     
2.7   0.100192   0.47630   -0.37611   2.74e-11  0.089840   8.3      1.2     
2.8   0.084778   0.46109   -0.37632   8.17e-10  0.076755   7.6      1.0     
2.9   0.084418   0.43755   -0.35313   2.40e-08  0.078100   8.9      1.3     
3.0   0.098730   0.40667   -0.30794   7.26e-07  0.094808   8.7      1.1     
SUMMARY 6x6 D=2 (offset 0.1, every 0.1): RMS=1.775e-01  max|delta|=3.763e-01 over 30 points
DONE
