
===== native D=3 =====
t     n_native   n_ED      n_leg4    chunk_trnerr
0.1   0.495017   -         -         8.8984e-07  
0.2   0.480265   -         -         1.4514e-05  
0.3   0.456334   -         -         7.0503e-05  
0.4   0.424177   -         -         2.0679e-04  
0.5   0.385078   -         -         4.5510e-04  
0.6   0.340599   -         -         8.2654e-04  
0.7   0.292554   -         -         9.9880e-04  
0.8   0.243286   -         -         6.8967e-05  
0.9   0.195643   -         -         1.1813e-04  
1.0   0.152935   0.15549   -         1.7119e-04  
1.1   0.118711   -         -         2.3399e-04  
1.2   0.096242   0.10057   -         3.1362e-04  
1.3   0.087811   -         -         4.0625e-04  
1.4   0.094060   0.10056   -         5.9204e-04  
1.5   0.113920   -         -         9.8517e-04  
1.6   0.146146   0.15558   -         9.9694e-04  
1.7   0.187358   -         -         9.7982e-04  
1.8   0.233627   0.24370   -         1.7421e-04  
1.9   0.281281   -         -         2.6614e-04  
2.0   0.327456   0.33735   -         3.7066e-04  
2.1   0.370031   -         -         4.7700e-04  
2.2   0.407385   0.41600   -         5.8300e-04  
2.3   0.438097   -         -         7.1184e-04  
2.4   0.460774   0.46696   -         9.2804e-04  
2.5   0.474041   -         -         1.1714e-03  
2.6   0.476648   0.48306   -         1.4367e-03  
2.7   0.467674   -         -         1.7194e-03  
2.8   0.446957   0.46230   -         2.0185e-03  

===== native D=4 =====
t     n_native   n_ED      n_leg4    chunk_trnerr
0.1   0.495017   -         -         8.8984e-07  
0.2   0.480265   -         -         1.4514e-05  
0.3   0.456334   -         -         7.0503e-05  
0.4   0.424177   -         -         2.0679e-04  
0.5   0.385078   -         -         4.5510e-04  
0.6   0.340599   -         -         8.2654e-04  
0.7   0.292554   -         -         9.9880e-04  
0.8   0.243286   -         -         6.8967e-05  
0.9   0.195643   -         -         1.1813e-04  
1.0   0.152935   0.15549   -         1.7119e-04  
1.1   0.118711   -         -         2.3399e-04  
1.2   0.096242   0.10057   -         3.1362e-04  
1.3   0.087811   -         -         4.0625e-04  
1.4   0.094060   0.10056   -         5.9204e-04  
1.5   0.113920   -         -         9.8517e-04  
1.6   0.146146   0.15558   0.14286   9.9694e-04  
1.7   0.187358   -         -         9.7982e-04  
1.8   0.233627   0.24370   0.23237   1.7421e-04  
1.9   0.281281   -         -         2.6614e-04  
2.0   0.327456   0.33735   0.32598   3.7066e-04  
2.1   0.370031   -         -         4.7700e-04  
2.2   0.407385   0.41600   0.40511   5.8300e-04  
2.3   0.438097   -         -         7.1184e-04  
2.4   0.460770   0.46696   0.46426   8.8247e-04  
2.5   0.474074   -         -         9.3959e-04  
2.6   0.477130   0.48306   0.47285   4.2496e-03  
2.7   0.469297   -         -         7.8656e-03  
2.8   0.450150   0.46230   0.43770   6.1818e-03  

DONE
