
===== native D=3 =====
t     n_native   n_ED      n_leg4    chunk_trnerr
0.2   0.480265   -         -         1.4514e-05  
0.4   0.424177   -         -         2.0679e-04  
0.6   0.340599   -         -         8.2654e-04  
0.8   0.243286   -         -         9.9880e-04  
1.0   0.152935   0.15298   -         1.7119e-04  
1.2   0.096242   0.09521   -         3.1362e-04  
1.4   0.094060   0.08779   -         5.9204e-04  
1.6   0.146146   0.10056   -         9.9694e-04  
1.8   0.233627   0.15558   -         9.7982e-04  
2.0   0.327456   0.24370   -         3.7066e-04  
2.2   0.407385   0.33735   -         5.8300e-04  
2.4   0.460774   0.41600   -         9.2804e-04  

===== native D=4 =====
t     n_native   n_ED      n_leg4    chunk_trnerr
0.2   0.480265   -         -         1.4514e-05  
0.4   0.424177   -         -         2.0679e-04  
0.6   0.340599   -         -         8.2654e-04  
0.8   0.243286   -         -         9.9880e-04  
1.0   0.152935   0.15298   -         1.7119e-04  
1.2   0.096242   0.09521   -         3.1362e-04  
1.4   0.094060   0.08779   -         5.9204e-04  
1.6   0.146146   0.10056   0.14286   9.9694e-04  
1.8   0.233627   0.15558   0.23237   9.7982e-04  
2.0   0.327456   0.24370   0.32598   3.7066e-04  
2.2   0.407385   0.33735   0.40511   5.8300e-04  
2.4   0.460770   0.41600   0.46426   8.8247e-04  

DONE
