
===== native D=3, dt=0.02, rel_floor=0 =====
t     n_native   n_ED      delta     chunk_trnerr wall_s  
0.1   0.495017   -         -         3.9263e-05   111.1   
0.2   0.480265   0.48027   +0.00000  3.1896e-04   5.7     
0.3   0.456334   -         -         2.9878e-04   5.8     
0.4   0.424179   0.42418   +0.00000  2.5728e-04   5.4     
0.5   0.385097   -         -         2.1092e-04   6.0     
0.6   0.340708   0.34071   +0.00000  1.6609e-04   5.7     
0.7   0.292972   -         -         1.4090e-04   5.9     
0.8   0.244241   0.24425   -0.00001  1.8748e-04   5.7     
0.9   0.197324   -         -         3.1300e-04   6.1     
1.0   0.155465   0.15549   -0.00003  4.8092e-04   5.9     
1.1   0.122127   -         -         6.2373e-04   5.6     
1.2   0.100532   0.10057   -0.00004  6.3159e-04   5.7     
1.3   0.093035   -         -         4.6513e-04   6.2     
1.4   0.100555   0.10056   -0.00001  2.3855e-04   5.9     
1.5   0.122236   -         -         1.3688e-04   5.7     
1.6   0.155540   0.15558   -0.00004  1.9752e-04   5.8     
1.7   0.196821   -         -         2.5112e-04   5.8     
1.8   0.242190   0.24370   -0.00151  3.1021e-04   6.0     
1.9   0.288268   -         -         3.6328e-04   5.7     
2.0   0.332481   0.33735   -0.00486  4.4655e-04   6.0     
2.1   0.372943   -         -         5.4291e-04   5.7     
2.2   0.408165   0.41600   -0.00783  6.5591e-04   6.1     
2.3   0.436758   -         -         7.8854e-04   5.9     
2.4   0.457210   0.46696   -0.00975  9.4202e-04   6.1     
2.5   0.467830   -         -         1.1164e-03   5.6     
2.6   0.466839   0.48306   -0.01622  1.3138e-03   5.8     
2.7   0.452853   -         -         1.5595e-03   6.1     
2.8   0.425843   0.46230   -0.03645  1.8573e-03   5.6     
2.9   0.388074   -         -         2.2447e-03   5.8     
3.0   0.344064   0.40822   -0.06416  2.6815e-03   6.0     
SUMMARY D=3 dt=0.02: trajectory RMS(0.2-grid)=1.982e-02  max|delta|=6.416e-02

===== native D=3, dt=0.01, rel_floor=0 =====
t     n_native   n_ED      delta     chunk_trnerr wall_s  
0.1   0.495017   -         -         3.4989e-05   9.0     
0.2   0.480265   0.48027   +0.00000  1.7189e-04   12.0    
0.3   0.456334   -         -         1.6046e-04   10.8    
